sub,month_x,total5,interrupt5,proportion5,duration5,month_y,total10,interrupt10,proportion10,duration10,proportion_difference_score,duration_difference_score
4,5,34,2,0.058823529411764705,0.5642500000000155,10,205,2,0.00975609756097561,0.6923920000000408,-0.049067431850789094,0.1281420000000253
6,5,12,0,0.0,0.0,10,183,3,0.01639344262295082,1.7615900000000693,0.01639344262295082,1.7615900000000693
10,5,35,1,0.02857142857142857,0.5253760000000511,10,84,1,0.011904761904761904,0.32744800000000396,-0.016666666666666666,-0.19792800000004718
11,5,26,3,0.11538461538461539,0.8588070000000521,10,126,5,0.03968253968253968,1.472266999999988,-0.07570207570207571,0.613459999999936
27,5,49,4,0.08163265306122448,1.6992499999998785,10,63,3,0.047619047619047616,0.2192969999999832,-0.03401360544217687,-1.4799529999998953
28,5,8,0,0.0,0.0,10,147,0,0.0,0.0,0.0,0.0
43,5,29,0,0.0,0.0,10,75,0,0.0,0.0,0.0,0.0
47,5,11,0,0.0,0.0,10,119,2,0.01680672268907563,3.6693729999999505,0.01680672268907563,3.6693729999999505
48,5,6,0,0.0,0.0,10,97,0,0.0,0.0,0.0,0.0
53,5,24,2,0.08333333333333333,2.090708999999947,10,90,12,0.13333333333333333,6.750574999999685,0.05,4.659865999999738
59,5,24,5,0.20833333333333334,2.7800529999999526,10,90,4,0.044444444444444446,2.884025999999835,-0.1638888888888889,0.10397299999988263
64,5,29,1,0.034482758620689655,0.32630600000004506,10,98,1,0.01020408163265306,0.6509320000000116,-0.024278676988036596,0.32462599999996655
71,5,120,5,0.041666666666666664,1.7389160000001027,10,199,1,0.005025125628140704,0.011365999999952692,-0.03664154103852596,-1.72755000000015
72,5,17,0,0.0,0.0,10,97,0,0.0,0.0,0.0,0.0
74,5,20,1,0.05,0.3955139999999915,10,97,1,0.010309278350515464,0.15783299999998235,-0.03969072164948454,-0.23768100000000913
75,5,23,1,0.043478260869565216,0.11266200000000026,10,30,4,0.13333333333333333,1.797010000000114,0.08985507246376812,1.6843480000001136
85,5,12,0,0.0,0.0,10,80,2,0.025,0.3526120000000219,0.025,0.3526120000000219
87,5,113,5,0.04424778761061947,2.4978290000000243,10,44,0,0.0,0.0,-0.04424778761061947,-2.4978290000000243
94,5,43,3,0.06976744186046512,5.95742400000006,10,62,2,0.03225806451612903,0.5075250000001006,-0.037509377344336084,-5.449898999999959
96,5,45,1,0.022222222222222223,0.3266609999999446,10,77,6,0.07792207792207792,0.9494929999999613,0.055699855699855694,0.6228320000000167
97,5,11,2,0.18181818181818182,1.2553290000000743,10,25,0,0.0,0.0,-0.18181818181818182,-1.2553290000000743
99,5,57,4,0.07017543859649122,3.1405950000000757,10,57,4,0.07017543859649122,3.1994369999998753,0.0,0.058841999999799555
101,5,76,4,0.05263157894736842,0.3206540000000473,10,55,4,0.07272727272727272,1.227226000000087,0.020095693779904306,0.9065720000000397
105,5,37,2,0.05405405405405406,7.006672999999978,10,75,2,0.02666666666666667,0.547362000000021,-0.02738738738738739,-6.459310999999957
106,5,50,6,0.12,3.9289810000000784,10,173,1,0.005780346820809248,0.3051970000001347,-0.11421965317919075,-3.6237839999999437
113,5,74,8,0.10810810810810811,21.068565999999983,10,80,2,0.025,0.2164070000000038,-0.08310810810810812,-20.85215899999998
118,5,108,3,0.027777777777777776,1.3609850000000279,10,27,0,0.0,0.0,-0.027777777777777776,-1.3609850000000279
